title;duration;genre;ageLimit
Ein Junge Namens Weihnachten;105;Adventure;6
Harry Potter und der Stein der Weisen;152;Fantasy;6
Eine Reise ins Verlies der Zeit;118;Action;18
James Bond - Keine Zeit zu sterben;165;Action;14
Last Night in Soho;120;Thriller;16
Die Rettung der uns bekannten Welt;135;Comedy;12
Aufzeichnungen aus der Unterwelt;115;Documentary;16
Dune;156;Drama;12
